date,"valve (note two valves have different diameter, thin or thick one)"
2018-02-01 12:46:06,#76_thin open
2018-02-01 12:46:36,#76_thin close
2018-02-01 12:47:06,#76_thin open
2018-02-01 12:47:36,#76_thin close
2018-02-01 12:48:06,#76_thin open
2018-02-01 12:48:36,#76_thin close
2018-02-01 12:49:06,#76_thin open
2018-02-01 12:49:36,#76_thin close
2018-02-01 12:50:06,#76_thin open
